O-number,Type,Setup Location,Position X,Position Y,Orientation,Secondary Orientation,Wavelength,Beam Path,Cleaning Status,Cleaning Comment,Placement Status,Optomechanics Status,Optomech Comments,Final Status,Comment on Status
255,waveplate,Breadboard,11.6,13.6,45,193,671,Li MOT,Clean,,TRUE,Works [KEEP],,,
256,iris,Not in Diagram,,,,,,,Broken,0,FALSE,,,,
257,mirror,Breadboard,13,36,-45,45 upward tilt,N/A,"Dual Color, OTOP",,,FALSE,,,,
258,PBS,Breadboard,13,28,90,90 rotation so reflected is facing upward,,,Cleaning,,TRUE,Works [KEEP],,,
259,lens,Breadboard,12,28,180,,,,,,FALSE,,,,
260,dump,Breadboard,10,28,0,,,,N/A,,FALSE,,,,
261,dump,Breadboard,11,26,90,,,,N/A,,FALSE,,,,
262,small dichroic mirror,Breadboard,11,28,-135,,,,,,FALSE,,,,
263,PD,Breadboard,11,31,-90,,,,,,FALSE,,,,
265,water-cooled beam dump,Breadboard,47,53,0,90 downward tilt,,"Li EOM, Li H Imaging",,,FALSE,,,,
266,mirror,Breadboard,43,36,135,,N/A,Dual Color,Clean,,TRUE,Works [KEEP],,,
267,OTOP laser,Breadboard,32,76,0,,,,N/A,,FALSE,,,,
268,dump,Breadboard,44.5,63,90,,,OTOP,N/A,,FALSE,,,,
269,mirror,Breadboard,38,65,45,,,OTOP,Clean,,TRUE,Works [KEEP],,,
270,dump,Breadboard,42,65,180,,,OTOP,N/A,,FALSE,,,,
271,lens,Breadboard,35,65.5,-90,,,OTOP,,,FALSE,,,,"In lics cupboard, f~223mm"
272,waveplate,Breadboard,35,63,90,105,,OTOP,Broken,,FALSE,,,,In lics cupboard
273,mirror,Breadboard,35,61,45,,,OTOP,Clean,,TRUE,Works [KEEP],,,
274,mirror,Breadboard,41,61,-135,45 upward tilt,,OTOP,,,FALSE,,,,
277,camera,Breadboard,1.5,36,0,,,,Broken,,FALSE,,,,
278,small breadboard,Not in Diagram,,,,,,,,,FALSE,,,,
279,camera,Breadboard,10.5,38,-12,,,,Broken,,FALSE,,,,
280,post,Breadboard,18,33,,,,,,,FALSE,,,,
281,post,Breadboard,19,39,,,,,,,FALSE,,,,
282,post,Breadboard,29,39,,,,,,,FALSE,,,,
283,post,Breadboard,29,34,,,,,,,FALSE,,,,
284,post,Breadboard,32,34,,,,,,,FALSE,,,,
285,post,Breadboard,32,41,,,,,,,FALSE,,,,
286,post,Breadboard,29,24,,,,,,,FALSE,,,,
287,waveplate,Breadboard,29.6,43.3,-130,180,,"RSC, Cs V Optical Pump",Clean,,TRUE,Works [KEEP],,,
288,mirror,Breadboard,31,45,-130,,,"RSC, Cs V Optical Pump",Clean,,TRUE,Works [KEEP],,,
289,dump,Not in Diagram,,,,,,,N/A,,FALSE,,,,
290,dump,Not in Diagram,,,,,,,N/A,,FALSE,,,,
291,dump,Not in Diagram,,,,,,,N/A,,FALSE,,,,
292,mirror,Not in Diagram,,,,,,,Clean,,FALSE,,,,
293,dump,Table,19,43,-90,,N/A,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",N/A,,FALSE,,,,
294,tall mirror,Breadboard,35.5,59,180,,,,,,FALSE,,,,
295,tall waveplate,Breadboard,33,59,0,,,,Broken,,FALSE,,,,
296,water-cooled beam dump,Breadboard,17,36,0,90 downward tilt,N/A,"Dual Color, OTOP",,,FALSE,,,,
297,water-cooled beam dump,Breadboard,13,28,0,90 downward tilt,,Li Repump,,,FALSE,,,,
298,PBS,Breadboard,22.5,18.5,-45,,852,"Cs V Optical Pump, RSC",Clean,,TRUE,Works [KEEP],,All good,
299,waveplate,Breadboard,20.4,31.5,50,65/245,852,"Cs V Optical Pump, RSC",Cleaning,,FALSE,,,,
300,PD,Breadboard,3,36,0,90 downward tilt,,,,,FALSE,,,,
301,lens,Breadboard,3,36,0,90 downward tilt,,,,,FALSE,,,,
302,PBS,Breadboard,3,36,0,90 rotation so reflected is facing upward,,,N/A,,FALSE,,,,
303,large mirror,Table,29,40,180,45 upward tilt,N/A,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,FALSE,,,,
304,beam sampler,Breadboard,10.6,18.6,0,,,,,,FALSE,,,Replaced,Replaced by O-543
305,beam sampler,Breadboard,12,18,0,,,"Li EOM, Li H Imaging",,,TRUE,,,Replaced,Replaced with O-517
306,beam sampler,Breadboard,13.4,17.4,0,,,Cs MOT,,,FALSE,,,Replaced,Replaced with O-504
307,beam sampler,Breadboard,13.5,13.5,90,,,Li Repump,,,FALSE,,,,
308,mirror,Breadboard,17,16,0,,,RSC,,,FALSE,,,,
309,mirror,Breadboard,16.7,17.3,0,,,Cs V Optical Pump,,,FALSE,,,,
310,PBS,Breadboard,9.5,17.5,-45,,852,Cs H Imaging,N/A,,FALSE,,,Replaced,Replaced by O-552
311,waveplate,Breadboard,10.1,18.1,45,,852,Cs H Imaging,Clean,,FALSE,,,Replaced,Replaced by O-545
312,half waveplate,Breadboard,15.4,21.4,45,,,"Li EOM, Li H Imaging",Clean,,FALSE,Works [KEEP],,All good,Still needs to be placed
313,small PD,Breadboard,17.8,8.2,45,,,Li MOT,Broken,,FALSE,,,,
314,small PD,Breadboard,5,19,45,,,,Broken,,TRUE,,,,
315,small PD,Breadboard,3,21,45,,,Cs MOT,Broken,,TRUE,,,,
316,waveplate,Breadboard,15,11,45,,,RSC,Clean,,TRUE,Works [KEEP],Custom mount,All good,
317,PBS,Breadboard,16,14,45,,,Cs V Optical Pump,N/A,,FALSE,,,,
318,waveplate,Breadboard,16.6,14.6,45,,,Cs V Optical Pump,Clean,,FALSE,,,,
319,waveplate,Breadboard,12.1,16.1,45,,,Cs MOT,Clean,,TRUE,Works [KEEP],,All good,Used a new HWP.
320,beam sampler,Breadboard,13,15,90,,,Li MOT,,,TRUE,Works [KEEP],,All good,
321,beam sampler,Breadboard,18,16,180,,,Cs V Optical Pump,,,FALSE,,,,
322,beam sampler,Breadboard,18.5,14.5,180,,,RSC,,,FALSE,,,,
323,small PD,Breadboard,18.3,17.3,45,,,RSC,Broken,,FALSE,,,,
324,small PD,Breadboard,17.5,18.1,-135,,,Cs V Optical Pump,Broken,,FALSE,,,,
325,small PD,Breadboard,4,20,45,,,"Li H Imaging, Li EOM",Broken,,TRUE,,,,
326,PBS,Breadboard,12.2,14.2,-45,,,Li MOT,Clean,,TRUE,Works [KEEP],Custom optomech,All good,New PBS got this label since no other otpic had it previoulsy. 
327,waveplate,Breadboard,20,4,0,,,Cs Zeeman,Not Found,,FALSE,,,,
328,waveplate,Breadboard,24,2,0,,,,Not Found,,FALSE,,,,
329,waveplate,Breadboard,21,4,0,,,Cs Zeeman,Not Found,,FALSE,,,,
330,waveplate,Breadboard,15,21,45,,671,"Li EOM, Li H Imaging",Not Found,,TRUE,Works [KEEP],,All good,Replaced O-312
331,large post,Breadboard,34,49,,,,RSC,Not Found,,FALSE,,,,
331,PBS,Table,8,19,0,,,,Not Found,,FALSE,,,,
332,large post,Breadboard,29,47,,,,,Not Found,,FALSE,,,,
332,PBS,Table,7,30,90,,,,Not Found,,FALSE,,,,
333,large post,Breadboard,14,49,,,,,Not Found,,FALSE,,,,
333,waveplate,Table,19,35,90,,,,Not Found,,FALSE,,,,
334,large post,Breadboard,19,47,,,,,Not Found,,FALSE,,,,
335,large post,Breadboard,34,33,,,,,Not Found,,FALSE,,,,
336,large post,Breadboard,15,31,,,,,Not Found,,FALSE,,,,
337,large post,Breadboard,19,30,,,,,Not Found,,FALSE,,,,
338,large post,Breadboard,29,30,,,,,Not Found,,FALSE,,,,
501,671 HWP,Middle Lab,,,,,,,,,FALSE,,,,
502,671 HWP,Breadboard,4,16,45,,671,Li H Imaging,,,TRUE,Works [KEEP],,All good,Replaced O-18. 
503,PBS,Breadboard,,,,,,,,,TRUE,Works [KEEP],,All good,Replaced O-29
504,beam sampler,Breadboard,,,,,852,Cs MOT,,,TRUE,Works [KEEP],,All good,Replaced O-306
505,EO2 mirror,Breadboard,7,13,90,,671,Li H Imaging,,,TRUE,Works [KEEP],,All good,Replaced O-6
506,EO3 mirror,Breadboard,,,,,,,,,FALSE,,,,
507,PBS,Breadboard,,,,,,,,,FALSE,,,Needs Replacement,"broken, need replacement"
508,beam sampler,Breadboard,,,,,,,,,FALSE,,,,
509,EO3 mirror,Breadboard,,,,,,,,,FALSE,,,,
510,EO3 mirror,Breadboard,,,,,,,,,FALSE,,,,
511,iris,Breadboard,,,,,,,,,FALSE,Works [KEEP],,All good,Replaced O-62. Currenty not placed
512,PD,Breadboard,,,,,,,,,FALSE,,,,
513,silver mirror,Breadboard,,,,,,,,,FALSE,,,,
514,iris,Breadboard,,,,,,,,,FALSE,,,,Replaced O-88
515,iris,Breadboard,,,,,,,,,FALSE,,,,
516,PBS,Breadboard,10,16,-45,,671,"Li H Imaging, Li EOM",,,TRUE,,,All good,Replaced O-51
517,beam sampler,Breadboard,11,17,0,,671,"Li EOM, Li H Imaging",,,TRUE,,,All good,Replaced O-305
518,2 inch EO2 mirror,Breadboard,,,,,,,,,FALSE,,,,
519,Fiber: Li EOM ,,1.5,12.5,45,,,,,,TRUE,Works [KEEP],,All good,Replaced O-27
521,Fiber: Li H Imaging,,,,,,,,,,FALSE,,,,Replaced O-37
522,Fiber: Li Zeeman,Breadboard,,,,,,,,,FALSE,,,,
523,Fiber: Cs MOT,Breadboard,,,,,852,Cs MOT,Clean,,TRUE,Works [KEEP],,All good,Replaced O-17. C220 collimator. 
524,Fiber: Cs Zeeman,Breadboard,,,,,,,,,FALSE,,,,
525,Fiber: Cs H Img,Breadboard,1.5,14.5,-45,,852,Cs H Imaging,,,TRUE,,,All good,Replaced O-12. C220 
526,Fiber: Cs V Optical Pump,Breadboard,,,,,,,,,FALSE,,,,
527,Fiber: Li H Imaging,Breadboard,3,17,-45,,671,Li H Imaging,Clean,,TRUE,Works [KEEP],,All good,Replaced O-37
528,Fiber: Cs H Optical Pumping,,,,,,,Cs (H) Optical Pump,Clean,,FALSE,,,,C230TMD-B. Replaced O-127
529,EO3 Mirror,Breadboard,,,,,852,Cs (H) Optical Pump,,,FALSE,,,,
530,EO3 Mirror,Breadboard,,,,,852,Cs (H) Optical Pump,,,FALSE,,,,
531,PBS,Breadboard,16.2,22.2,-45,,671,"Li EOM, Li H Imaging",Clean,,TRUE,Works [KEEP],Custom optomech mount,All good,"Replaced O-76.3. Beam path seems to just barely  miss O-64.3 mount which is good, but iffy. "
532,671 HWP,Breadboard,,,,,671,,Clean,New optics,TRUE,Works [KEEP],Custom optomech mount,All good,Replaced O-78.1
533,671 HWP,Breadboard,,,,,671,,Clean,New optics,TRUE,Works [KEEP],Custom optomech mount,All good,Replaced O-78.3
534,PBS,Breadboard,,,,,671,,Clean,New optics,TRUE,Works [KEEP],Custom optomech mount,All good,Replaced O-78.2
535,852 HWP,Breadboard,,,,,852,,,,TRUE,,,All good,Replaced O-112
536,PBS,Breadboard,,,,,,RSC,Clean,,TRUE,Works [KEEP],Custom mounts,All good,Replaced O-507 (which originally replaced O-111)
537,EO2 Mirror,Breadboard,,,,,,,,,FALSE,,,,Replaced O-63
538,Fiber: Li MOT,Breadboard,,,,,,,,,TRUE,Works [KEEP],New kinematic mount. ,All good,Replaced O-16
539,EO3 mirror,Breadboard,4,12,90,,852,Cs H Imaging,Clean,,TRUE,Works [KEEP],,All good,Replaced O-4
540,EO2 mirror,Breadboard,6.25,17.5,-90,,671,Li EOM,Clean,,TRUE,Works [KEEP],,,Replaced O-38
541,EO3 mirror,,9.8,23.2,0,,852,,,,FALSE,,,,Replaced O-34
542,EO2 mirror,,,,,,671,,,,TRUE,,,,Replaced O-50
543,852 HWP,,12,21,45,,852,Cs H Imaging,,,TRUE,,,,Replaced O-55.2. Align
544,852 QWP,,11.2,21.8,45,,,,,,TRUE,,,,Replaced O-55.1. Align
545,852 HWP,Breadboard,8.3,16.3,45,,852,Cs H Imaging,Clean,,TRUE,,,,Replaced O-311
546,beam sampler,Breadboard,9,17,0,,852,Cs H Imaging,Clean,,TRUE,Works [KEEP],,All good,Replaced O-304
548,mirror,,,,,,,,,,FALSE,,,,
549,mirror,,,,,,,,,,FALSE,,,,
550,671 HWP,,,,,,,,,,FALSE,,,,Replaced O-330
551,E04 mirror,,6,20,-90,,,,,,FALSE,,,,replaced O-82 (on the diagram it is for Cs H Imaging beam sampling but it is an EO2 so it will be used for Li instead)
552,PBS,,7.3,15.3,-45,,852,Cs H Imaging,,,TRUE,,,,Replaced O-310
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,FALSE,,,,
